mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08940329551696777,0.002826109298225955,0.022950029373168944,0.0061338188721240215,balanced,10,sqrt,1,2,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8144796380090498,0.6411764705882353,0.9411764705882352,0.8181623931623933,0.7458333333333332,0.7921656611362493,0.09830807213595066,429,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15202884674072265,0.007166754961317568,0.04222307205200195,0.007198801781941524,balanced,10,sqrt,1,2,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8144796380090498,0.657754010695187,0.9411764705882352,0.8791035353535352,0.8028846153846154,0.8190796540061246,0.0946782990598236,287,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20720272064208983,0.009563462541866111,0.033127117156982425,0.001976935697632925,balanced,10,sqrt,1,2,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8144796380090498,0.7058823529411765,0.9411764705882352,0.8175505050505051,0.7458333333333332,0.8049844599844599,0.08014538171490032,373,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08445758819580078,0.004000829249927261,0.023250865936279296,0.006176234511835669,balanced,10,sqrt,1,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8144796380090498,0.7058823529411765,0.9411764705882352,0.8739316239316239,0.7458333333333332,0.8162606837606837,0.08494286416837292,315,1.0,1.0,0.9848406546080964,0.9850513906853899,1.0,0.9939784090586972,0.0073752137030730055
0.15682168006896974,0.006185289765866408,0.037341737747192384,0.00469030605963564,balanced,10,sqrt,1,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8144796380090498,0.657754010695187,0.9411764705882352,0.8791035353535352,0.7458333333333332,0.8076693975958682,0.099269004249783,361,1.0,1.0,0.9848406546080964,0.9850513906853899,1.0,0.9939784090586972,0.0073752137030730055
0.21986474990844726,0.004743959997945029,0.035975074768066405,0.004587017132995959,balanced,10,sqrt,1,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8144796380090498,0.7058823529411765,0.9411764705882352,0.9368686868686869,0.7458333333333332,0.8288480963480962,0.09644126623070066,177,1.0,1.0,1.0,0.9850513906853899,1.0,0.997010278137078,0.005979443725844025
0.08216462135314942,0.0016964304676864907,0.021103620529174805,0.003214097613622729,balanced,10,sqrt,1,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8803921568627452,0.7058823529411765,0.8823529411764706,0.9368686868686869,0.75,0.8310992275698158,0.08774994582483958,149,0.9700033704078194,0.9548743246417665,0.955098450397807,0.9700248756218907,0.9552389567314942,0.9610479955601555,0.00732173950185651
0.14356718063354493,0.0024266443993831584,0.032338523864746095,0.0057205382061529565,balanced,10,sqrt,1,10,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8144796380090498,0.7607843137254902,0.8823529411764706,0.9368686868686869,0.7458333333333332,0.8280637826226063,0.0724689211107232,208,0.9700033704078194,0.9700033704078194,0.9700033704078194,0.9701492537313433,0.970156967102472,0.9700632664114547,7.339786431933801e-05
0.22319164276123046,0.013891558283921645,0.03821864128112793,0.004089948212888193,balanced,10,sqrt,1,10,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8144796380090498,0.7058823529411765,0.8823529411764706,0.8739316239316239,0.7458333333333332,0.8044959778783308,0.06949624743064946,385,0.9700033704078194,0.9700033704078194,0.9700033704078194,0.9850513906853899,0.970156967102472,0.973043693802264,0.006004143144608501
0.0888223648071289,0.00639018886598771,0.022101593017578126,0.0017112680978588616,balanced,10,sqrt,2,2,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8144796380090498,0.7607843137254902,0.9411764705882352,0.8739316239316239,0.7458333333333332,0.8272410759175465,0.07261936039903125,220,0.9848406546080964,0.9848406546080964,0.9848406546080964,0.9850513906853899,0.9552389567314942,0.9789624622482348,0.011862033550569877
