Модель,Test Accuracy,Test F1-Score,CV F1-Score
Baseline RF,0.8571428571428571,0.8547077922077921,1.0
Optimized RF,0.8928571428571429,0.8891304347826087,0.8663443256090314
Optimized XGBoost,0.9642857142857143,0.9640856342537015,0.7919283739136681
