,precision,recall,f1-score,support
Смерть,1.0,1.0,1.0,9.0
Не восстановился,1.0,0.6666666666666666,0.8,9.0
Восстановился,0.7692307692307693,1.0,0.8695652173913043,10.0
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
macro avg,0.923076923076923,0.8888888888888888,0.8898550724637682,28.0
weighted avg,0.9175824175824177,0.8928571428571429,0.8891304347826087,28.0
