,Fold,Accuracy,F1-Score
0,1,0.8235294117647058,0.8144796380090498
1,2,0.5882352941176471,0.5823529411764706
2,3,0.8823529411764706,0.8823529411764706
3,4,0.8125,0.8075396825396826
4,5,0.875,0.8729166666666668
Mean,Mean,0.7963235294117647,0.7919283739136681
Std,Std,0.1076044595878042,0.10900444064716852
